Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
81500,-0.43485117,0.964025,799.0,-4.09900027513504,-4.09900027513504,1.0
82000,0.674409,0.8726084,336.0,8.219999969005585,8.219999969005585,1.0
82500,-0.38110387,0.91983575,799.0,-4.298000276088715,-4.298000276088715,1.0
83000,1.1841286,0.75110924,286.0,8.054999589920044,8.054999589920044,1.0
83500,1.2149107,0.9126275,161.0,8.589999541640282,8.589999541640282,1.0
84000,-0.32560638,0.910878,799.0,-4.100000277161598,-4.100000277161598,1.0
84500,0.99508846,0.90466285,280.0,8.500000029802322,8.500000029802322,1.0
85000,1.9679558,0.90576655,304.5,8.227499917149544,8.227499917149544,1.0
85500,-0.18631232,0.9317658,None,None,None,1.0
86000,-0.34169355,1.0269444,799.0,-4.299000293016434,-4.299000293016434,1.0
86500,0.85442317,0.89280844,724.0,5.879999339580536,5.879999339580536,1.0
87000,0.6458233,0.894063,174.0,9.030000418424606,9.030000418424606,1.0
87500,-0.23747166,0.96299255,799.0,-4.19700026512146,-4.19700026512146,1.0
88000,0.13992904,0.92154634,506.0,7.169999867677689,7.169999867677689,1.0
88500,0.7054679,0.94644946,245.5,8.672499999403954,8.672499999403954,1.0
89000,-0.2211465,0.8915828,None,None,None,1.0
89500,-0.24742314,0.96614015,799.0,-4.499000310897827,-4.499000310897827,1.0
90000,1.3060637,0.94421285,782.0,5.490000069141388,5.490000069141388,1.0
90500,-0.19225319,0.87153673,None,None,None,1.0
91000,1.0102628,0.7083355,362.6666666666667,2.684999831020832,2.684999831020832,1.0
91500,0.3487485,0.95925677,None,8.885000318288803,8.885000318288803,1.0
92000,-0.2800181,0.92462695,799.0,-3.998000293970108,-3.998000293970108,1.0
92500,-0.26882008,0.9683666,None,None,None,1.0
93000,2.0780158,0.8271446,383.3333333333333,4.615666309992473,4.615666309992473,1.0
93500,2.0074475,0.7872557,168.5,8.957500085234642,8.957500085234642,1.0
