Wall time,Step,Value
1596842249.1436613,166000,96.16666412353516
1596842257.7446094,166500,91.0
1596842265.1776772,167000,101.19999694824219
1596842273.7548974,167500,150.3333282470703
1596842280.5996556,168000,116.0
1596842289.490851,168500,89.16666412353516
1596842296.680006,169000,77.5
1596842304.60197,169500,799.0
1596842312.6352594,170000,85.5
1596842327.935582,171000,327.6666564941406
1596842337.2476625,171500,87.33333587646484
1596842343.8038154,172000,104.0
1596842351.727163,172500,105.0
1596842359.84839,173000,98.5999984741211
1596842367.0385554,173500,91.19999694824219
1596842375.2388186,174000,98.5999984741211
1596842383.094324,174500,97.5
1596842390.8619115,175000,132.60000610351562
1596842398.2505002,175500,84.0
1596842407.0076845,176000,532.0
1596842414.1523285,176500,105.4000015258789
1596842422.797161,177000,155.0
1596842430.1297855,177500,123.5
1596842438.042271,178000,133.0
